timestamp,duration,src_bytes,dst_bytes,failed_logins,prediction,severity,risk_score
2025-12-30 14:08:05,44,26641,72862,4,attack,HIGH,70
2025-12-30 14:07:55,179,102680,28171,0,normal,LOW,15
2025-12-30 14:07:45,165,26587,59196,4,normal,LOW,7
2025-12-30 14:07:35,84,72456,100398,4,normal,LOW,5
2025-12-30 14:07:25,29,89250,3362,6,normal,LOW,23
2025-12-30 14:07:15,23,59047,115996,5,attack,HIGH,81
2025-12-30 14:07:05,34,9820,9157,1,normal,LOW,11
2025-12-30 14:06:55,151,13678,75534,2,normal,LOW,17
2025-12-30 14:06:45,155,42345,112796,3,normal,LOW,17
2025-12-30 14:06:35,53,66791,116870,1,attack,MEDIUM,74
2025-12-30 14:06:25,13,18278,62500,5,normal,LOW,14
2025-12-30 14:06:15,76,59173,25114,5,attack,MEDIUM,55
2025-12-30 14:06:05,163,80884,97333,9,normal,LOW,23
2025-12-30 14:05:55,35,114251,99970,2,attack,MEDIUM,96
2025-12-30 14:05:45,104,95463,91666,1,normal,LOW,17
2025-12-30 14:05:35,138,114773,57788,7,normal,LOW,25
2025-12-30 14:05:25,27,19430,56339,9,normal,LOW,8
2025-12-30 14:05:15,81,75813,107605,3,normal,LOW,21
2025-12-30 14:05:05,176,21888,71750,8,attack,HIGH,82
2025-12-30 14:04:55,178,2454,71038,10,normal,LOW,17
2025-12-30 14:04:45,94,100217,69504,5,attack,HIGH,69
2025-12-30 14:04:35,61,27592,57026,2,normal,LOW,14
2025-12-30 14:04:25,60,118326,54531,1,normal,LOW,22
2025-12-30 14:04:15,168,117926,91556,10,attack,HIGH,100
2025-12-30 14:04:05,1,29292,50426,3,normal,LOW,15
2025-12-30 14:03:55,43,49018,104605,1,attack,MEDIUM,60
2025-12-30 14:03:45,114,75737,82493,8,attack,HIGH,99
2025-12-30 14:03:35,71,41818,67286,9,attack,HIGH,83
2025-12-30 14:03:25,46,54759,72339,1,normal,LOW,6
